maximum capacity (mw),unitary cost ($/mwh),bus adress,rup cost ($/mwh),rdn cost ($/mwh),max rup (mw),max rdn (mwh),minimum generation (mwh),ramp_up (mw/h),ramp_down(mw/h),min up time (h),min down time (h),startup cost ($/mwh),initial power (mwh),v_ini (0/1),t_ini (h)
400,25,18,0,0,0,0,100,400.2,400.2,1,1,0,320,1,50
400,25,21,0,0,0,0,100,400.2,400.2,1,1,0,320,1,16
152,250,1,15,14,40,40,30.4,120,120,8,4,1430.4,121.6,1,22
152,200,2,15,14,40,40,30.4,120,120,8,4,1430.4,121.6,1,22
155,100,15,16,14,30,30,54.25,180,180,8,8,312,0,0,-2
155,100,16,16,14,30,30,54.25,180,180,8,8,312,124,1,10
310,120,23,17,16,60,60,108.5,180,180,8,8,624,248,1,10
350,300,23,16,14,40,40,140,240,240,8,8,2298,280,1,50
350,400,7,10,9,70,70,75,420,420,8,8,1725,0,0,-2
591,450,13,8,7,180,180,206.85,180,180,12,10,3056.7,0,0,-1
60,600,15,7,5,60,60,12,60,60,4,2,437,0,0,-1
300,150,22,0,0,0,0,300,300,300,1,1,0,240,1,24
